country,cluster
Albania,1
Baku (Azerbaijan),2
Argentina,1
Australia,3
Brazil,1
Brunei Darussalam,1
Chile,1
Chinese Taipei,1
Colombia,1
Costa Rica,1
Denmark,1
Dominican Republic,1
Estonia,1
France,1
Georgia,1
Greece,1
Indonesia,1
Italy,1
Kazakhstan,1
Jordan,1
Lebanon,1
Lithuania,1
Mexico,1
Moldova,1
Morocco,1
Panama,1
Peru,1
Philippines,1
Poland,1
Portugal,1
Qatar,1
Saudi Arabia,1
Slovak Republic,1
Spain,1
Sweden,1
Switzerland,1
Thailand,1
United Arab Emirates,1
Turkey,1
United States,1
Uruguay,1
B-S-J-Z (China),1
